Year,SST,Caribbean,Long-Line,Trawling,Hooks,Menhaden,Red_Drum,Herring
1950,-0.53027021,-2.603568724,2.5286662,0.69954562,NA,NA,0.18099536,NA
1951,0.49510009,-2.668996868,1.90827337,1.41298143,NA,NA,0.59593691,NA
1952,0.36585021,-2.366671954,1.60951175,1.35696475,NA,NA,0.65297244,NA
1953,0.09546625,-2.453025751,1.31928302,1.61990975,NA,NA,0.7722921,NA
1954,-0.85358931,-2.414277527,0.3367874,1.91718855,NA,NA,0.98254236,NA
1955,-0.52072519,-2.338113821,3.66635498,1.59767238,NA,-0.212849691,1.03518432,NA
1956,-0.92855093,-1.698819282,-0.02747931,1.31788121,NA,0.858080646,0.92847406,NA
1957,0.0587854,-1.508225993,0.50565309,1.0587181,NA,1.892779831,0.69566766,NA
1958,-0.27312836,-1.540836125,0.12631869,1.05902796,NA,0.122576713,0.38393438,NA
1959,-0.42506097,-1.125630157,-0.25257603,1.30748828,NA,3.564135082,-0.04344874,NA
1960,0.02677568,-0.782517057,0.33792502,1.32310178,NA,-0.461518346,-0.37171703,NA
1961,-0.22227735,-0.525669543,0.43946211,0.121266,NA,-1.153277692,-0.60598177,NA
1962,-0.42154448,-0.056004032,0.48959679,0.50215522,NA,-1.132820627,-0.75355585,NA
1963,-0.77794185,-0.185666368,-0.15740578,1.15532506,NA,-0.83049085,-0.85376274,NA
1964,-1.29539244,-0.22135521,0.51013676,0.90146238,NA,-1.612042547,-0.83295742,NA
1965,-1.27292811,-0.081687332,0.41297042,1.12437893,NA,-0.661878531,-0.86277242,0.01523555
1966,-0.92798814,-0.208333579,0.2890563,0.70123516,NA,-0.778439512,-0.91700756,-0.03470043
1967,-1.06712212,0.002127356,-0.34514929,1.12848159,NA,-0.347271286,-0.95291036,1.06162644
1968,-1.12377643,0.130478118,-1.24463222,0.78991328,NA,-2.136080125,-0.86578825,-0.18362065
1969,-0.53280511,0.245423358,-0.62823835,0.54902752,NA,-1.487403293,-0.79605924,-0.1355589
1970,-1.28231041,-0.190976581,-0.7241258,0.91134125,NA,-1.173940359,-0.79510092,-0.97798554
1971,-1.43613615,0.267195431,-0.71963981,0.9054108,NA,-2.619866604,-0.9507734,1.0880103
1972,-1.00258588,0.461543177,-0.5892184,0.74831458,NA,-1.014177055,-1.15709307,-1.0964394
1973,-1.22165918,0.480281349,-0.61557983,0.06164436,NA,-1.194812802,-1.31045059,-1.1851956
1974,-1.62180585,0.482404538,-0.42519725,0.12638898,NA,-0.727673524,-1.34656174,-0.87087999
1975,-1.32304264,0.209694528,-0.14299197,-0.24031662,NA,0.362271219,-1.95150695,-1.48850655
1976,-1.06855946,0.056392703,-0.82507699,0.2014714,NA,1.269940393,-2.07918901,-1.410995
1977,-0.60335744,0.031642074,-0.62366625,0.77891443,NA,0.705720728,-2.20904721,-0.1288763
1978,-0.72753914,0.258664638,-1.10537137,-0.03858995,NA,0.819067747,-2.2719494,-0.14848891
1979,-0.13252905,0.480450277,-0.63543573,-0.23695473,NA,0.240703709,-2.04676098,-2.6862126
1980,-0.22267348,0.506808479,-1.31374281,-0.09427225,NA,0.795299644,-1.08029417,-0.62761044
1981,-0.46201178,0.582998354,0.29581356,-0.59269336,NA,0.043709912,-1.18649489,-1.31836374
1982,-0.15375792,0.808813013,-0.47860322,-0.11569802,NA,0.779300201,-0.97748828,-1.21454737
1983,0.07567343,0.930184473,-0.31242979,-0.50250403,NA,-0.995052098,-0.53475005,-1.63284887
1984,-1.29827466,1.07343945,-0.53597355,0.65116722,NA,0.352410682,0.27812394,-0.06338587
1985,-1.13443129,1.032688424,-0.03623277,0.10620203,NA,1.244479782,0.8984463,-0.57915799
1986,-0.64859591,1.149003645,-0.42560786,-0.80329258,NA,0.919001193,1.1840572,-0.75696315
1987,0.2222063,0.833684637,-0.09459528,-0.76826705,NA,-0.086680166,1.3397098,-0.3504229
1988,-0.41083011,1.034561167,-0.68688124,-1.06661837,NA,-0.319674656,1.07723658,0.26207944
1989,-0.26161636,0.953430305,-0.46221715,-0.93269262,NA,0.97086494,0.55099995,0.38462697
1990,0.00921946,0.67932709,0.13715308,-0.44289826,NA,-0.050291286,0.5209911,0.47515716
1991,-0.62833147,0.476164175,0.28607013,-0.17128614,NA,0.98544598,0.5802438,0.27528923
1992,-0.8205935,1.007879954,-0.57595298,-0.54288581,0.54795861,1.091627134,0.44271071,-0.3765933
1993,-0.75530283,0.825877787,0.50205525,-0.65734242,0.85374616,0.576915478,0.37692892,-0.36273458
1994,-0.16863981,0.682988372,0.06149772,-0.75472536,1.31275347,0.219724772,0.65554236,0.06134305
1995,-0.10416549,0.548667388,-1.47195542,-0.38968686,1.93867254,0.730540966,1.23020336,1.71273755
1996,-0.65652335,0.857440219,-2.05000962,-0.43033677,2.07820033,-0.333426668,0.30885038,0.94749154
1997,0.28423734,0.751528015,-0.53488683,-0.11601465,1.60484904,-0.598124026,0.49657483,0.9023364
1998,1.10489793,0.210154468,-1.74174724,0.15978532,0.54795861,-0.613878264,0.47871741,0.08291535
1999,0.59501733,0.706204295,-0.58118074,-0.56319615,0.45081076,0.523045548,0.62912583,1.39181411
2000,0.13660623,1.000600217,-1.18357672,-0.22603445,0.57599457,-0.09895434,0.30149916,-0.22649841
2001,0.66133531,0.843319671,-0.81713416,-0.47183099,-0.3146361,-0.83049085,0.51440537,-0.15880752
2002,0.26717835,0.649029365,-0.82490565,-0.95163832,-0.92621119,-0.148797219,0.85320164,0.87613177
2003,0.82468048,0.291646171,-0.89984597,-0.18526451,-0.10599641,0.008961174,1.050735,1.11348354
2004,0.9113084,0.159952626,-0.24209951,0.08546729,0.06091534,-0.417928345,1.0580365,0.13734146
2005,1.32602992,0.062101229,1.45033159,-0.97344877,-0.7873354,-0.551572949,0.7534898,-0.30680441
2006,1.16622872,0.324083613,2.15826098,-0.26649412,-0.98228311,0.532122463,0.52695549,0.77385161
2007,0.60832882,0.316576062,0.38922265,-1.67978393,-0.55065975,0.39157221,0.43750632,-0.67917786
2008,0.72967354,0.258206786,0.95225319,-2.09591022,-0.39809198,-0.566973156,0.978004,0.60761398
2009,1.13355884,0.433178834,0.83450122,-1.27976139,-0.16141633,0.261470735,1.1409391,2.49496928
2010,1.16664395,0.203946393,0.65644658,-2.01864993,-0.87079127,0.100350355,1.29922603,0.13303061
2011,1.24302798,0.093818088,0.60957879,-0.98150602,-0.73191548,1.422300311,1.07038513,0.24231704
2012,1.55896285,-0.194921674,0.829169,-1.62808142,0.58968655,-0.050291286,0.51238713,1.98099263
2013,1.23198015,-0.094274903,0.19061694,-2.25551901,0.25586305,-0.582489592,-0.01981068,0.57481259
2014,1.42800758,-0.135027831,0.49839635,-1.90563752,0.00549542,-0.038303392,NA,1.40616869
2015,2.16265765,NA,NA,NA,-0.80102738,-0.074478836,NA,NA
2016,2.10448667,NA,NA,NA,-1.20461478,1.139362036,NA,NA
2017,2.00833189,NA,NA,NA,0.17240717,0.978168386,NA,NA
2018,1.28585289,NA,NA,NA,-0.91251921,NA,NA,NA
2019,1.96235128,NA,NA,NA,-2.24781322,NA,NA,NA
2020,2.06791324,NA,NA,NA,NA,NA,NA,NA
